Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
1,"야! 전화 받아. 아무리 바빠도 내전화는 받아야 되는거 아냐? 약속 하나도 못지키는 주제에 법을 지켜?",어영,dysphoria,dysphoria,0,0
2,"우리 아무래도 안되겠다. 이게 최선인거 같애. 평생 잊지 않을게. 행복하길 바란다.",어영,dysphoria,dysphoria,1,0
3,"김경사님, 아직 안가셨어요? 시간 다됐을텐데.",지구대,neutral,neutral,2,0
4,"근무중인데 어딜가?",순경,dysphoria,dysphoria,2,1
5,"다녀오세요. 이런날은 무조건 가서 축하해주셔야죠. 이순경이 대신 근무선다고 나온대요.",지구대,euphoria,euphoria,2,2
6,"그럴거 없어.",순경,neutral,neutral,2,3
7,"막내 아드님 모범경찰상 받으시는데 직접 보셔야죠. 얼마나 자랑스럽습니까?",지구대,euphoria,euphoria,2,4
8,"그럼 얼른 갔다올게. 고마워 지경사. 저녁에 집으로 와.",순경,euphoria,euphoria,2,5
9,"오늘은 빠질게요. 가족분들끼리 하세요.",지구대,euphoria,euphoria,2,6
10,"아들 표창장 받는 동안 아부진 뭐했대?",과자,dysphoria,dysphoria,3,0
11,"뭐?",순경,dysphoria,dysphoria,3,1
12,"그냥 넘어가요. 입 심심해서 혼자 지껄여 봤네요.",과자,dysphoria,dysphoria,3,2
13,"아부지, 저 먼저 가봐야겠는데요.",현찰,neutral,neutral,3,3
14,"오늘 중요한 일있다 그랬지? 얼른 가봐라.",순경,neutral,neutral,3,4
15,"사진이라도 박고 가지.",과자,dysphoria,dysphoria,3,5
16,"아까 한방 박았으면 됐지 뭘 더박아? 얼른 가봐라.",순경,dysphoria,dysphoria,3,6
17,"예 그럼.",현찰,neutral,neutral,3,7
18,"아부지!",이상,euphoria,euphoria,3,8
19,"장하다. 잘했어.",순경,euphoria,euphoria,3,9
20,"세상에, 우리 막내. 최고다 최고.",과자,euphoria,euphoria,3,10
21,"어허, 전여사.",이상,euphoria,euphoria,3,11
22,"아무리 내속으로 낳은 내자식이지만 니가 젤로 멋지드라. 너땜에 재미져 죽겠다.",과자,euphoria,euphoria,3,12
23,"어디가서 점심이라도 먹을래?",순경,euphoria,euphoria,3,13
24,"바로 들어가 봐야됩니다.",이상,neutral,neutral,3,14
25,"그럼 저녁에 맛있는거 해놀테니 일찍와. 우리 늙은것들도 슬슬 가봅시다.",과자,euphoria,euphoria,3,15
26,"전여사, 집에서 봐.",이상,euphoria,euphoria,3,16
27,"김이상 경감님!",순경,euphoria,euphoria,3,17
28,"아부지...",이상,neutral,neutral,3,18
29,"정말 충심을 다해 민중의 지팡이가 돼주시기 바랍니다.",순경,euphoria,euphoria,3,19
30,"그말씀 꼭 명심하겠습니다.",이상,euphoria,euphoria,3,20
31,"예 도련님. 식 끝났어요? 어머님 아버님 좋아하시죠?",도우미,euphoria,euphoria,4,0
32,"예. 근데 뭐하러 꽃은 보내셨어요?  사랑합니다 형수님. 저녁준비 너무 많이하지 마세요.",이상,euphoria,euphoria,5,0
33,"덕분에 저도 얻어 먹을려구요. 도련님. 특별히 드시고 싶은거 있음 말씀하세요.",우미,euphoria,euphoria,6,0
34,"하루라도 조용할 날이 없네 조용할 날이 없어. 누가 니들같은거 낳고 미역국 먹었다니?",우미,dysphoria,dysphoria,7,0
35,"엄마가.",혼수상태,dysphoria,dysphoria,7,1
36,"너네 꼼짝말고 서있어. 왜?",우미,dysphoria,dysphoria,7,2
37,"횟감은 뜨지 말라고. 내가 떠갈게. 어머니 회 좋아하시잖아.",현찰,euphoria,euphoria,7,3
38,"회는 나도 좋아해. 나 지금 모델하우스 앞인데 들어가볼려고.",우미,neutral,neutral,7,4
39,"장남있잖아. 둘째가 그만큼 모셨으면 됐지.  약속은 약속이야. 무조건 지켜.",우미,dysphoria,dysphoria,8,0
40,"나중에 얘기해.",현찰,dysphoria,dysphoria,8,1
41,"나중에 언제? 여보세요?",우미,dysphoria,dysphoria,8,2
42,"나다. 뭐한다니?",과자,neutral,neutral,9,0
43,"일하지 뭐해.",건강,neutral,neutral,10,0
44,"어지간하면 왔다가지. 아부지 한소리 하시드라.",과자,dysphoria,dysphoria,10,1
45,"죄송해요.",건강,dysphoria,dysphoria,10,2
46,"왜?",건강,neutral,neutral,11,0
47,"오늘은 무슨일이 있어도 꼭 같이 와.",과자,neutral,neutral,11,1
48,"같이?",건강,neutral,neutral,11,2
49,"어떻게 며느리가 돼갖구 시댁에 코빼기도 안비치냐? 얼굴도 까먹겠다.",과자,dysphoria,dysphoria,11,3
50,"엄마, 오늘말고 담에 갈게. 야근이다 뭐다해서 나도 얼굴보기 힘들어.",건강,dysphoria,dysphoria,11,4
51,"오래면 와. 느이 아부지도 반은 풀리신거 같고, 나도 따로 할말 있으니까.",과자,dysphoria,dysphoria,12,0
52,"엄마! 가지마. 엄마!",종남,dysphoria,dysphoria,13,0
53,"오골계는 어쨌다니?",과자,neutral,neutral,14,0
54,"뱃속에 넣기만 하면 돼요. 아주버님이랑 형님도 오신대요?",우미,neutral,neutral,14,1
55,"오라고 했으니 오겠지. 이걸 왜 초로 무쳤냐? 큰애 신거 안먹는거 몰라?",과자,dysphoria,dysphoria,14,2
56,"혼수아빤 된장 넣은거보다 새콤달콤 무치는걸 더,",우미,neutral,neutral,14,3
57,"오랜만에 오는 사람 비위 맞춰야지. 겉절이는?",과자,dysphoria,dysphoria,14,4
58,"참.",우미,dysphoria,dysphoria,14,5
59,"자알한다. 젊은게 벌써부터 깜빡깜빡.",과자,dysphoria,dysphoria,14,6
60,"애들 둘이나 낳고 살다보니 저도 모르게 자꾸 깜빡거려지네요.",우미,dysphoria,dysphoria,14,7
61,"다른건 몰라도 겉절일 빠뜨리면 어쩐다니? 큰애는 니신랑하고 입이 틀려.",과자,dysphoria,dysphoria,14,8
62,"얼른 할게요.",우미,dysphoria,dysphoria,14,9
63,"거 좀 비킵시다.",남자1,dysphoria,dysphoria,15,0
